47	KMD Komodo	KMD	$538,382,962	$5.21	103,357,093	$30,490,100	-0.57%	-4.39%	30.37%	
48	ARDR Ardor	ARDR	$536,487,704	$0.537025	998,999,495 *	$14,669,600	-0.81%	3.34%	14.44%	
49	ZCL ZClassic	ZCL	$522,816,608	$157.34	3,322,825	$17,943,400	0.65%	-3.66%	68.27%	
50	ARK Ark	ARK	$502,243,626	$4.99	100,661,322 *	$7,549,630	-0.11%	3.33%	25.30%	
51	DGD DigixDAO	DGD	$486,676,000	$243.34	2,000,000 *	$8,006,960	-0.78%	1.85%	-14.41%	
52	DRGN Dragonchain	DRGN	$477,456,624	$2.00	238,421,940 *	$3,289,400	0.31%	0.28%	37.27%	
53	GBYTE Byteball Bytes	GBYTE	$470,581,736	$729.33	645,222 *	$846,890	-2.84%	4.78%	67.82%	
54	ETN Electroneum	ETN	$468,291,335	$0.075933	6,167,197,422	$2,446,630	2.03%	0.73%	15.47%	
55	GAS Gas	GAS	$441,073,285	$45.41	9,713,345 *	$6,692,230	0.07%	5.94%	12.63%	
56	DGB DigiByte	DGB	$429,244,772	$0.043586	9,848,135,484	$7,792,480	-0.46%	2.51%	35.21%	
57	BAT Basic Attenti...	BAT	$419,786,000	$0.419786	1,000,000,000 *	$5,222,890	0.05%	2.85%	14.78%	
58	LRC Loopring	LRC	$409,498,900	$0.729675	561,207,249 *	$2,705,190	2.69%	6.70%	16.85%	
59	KNC Kyber Network	KNC	$387,609,961	$2.89	134,132,697 *	$10,733,300	0.97%	6.76%	-4.44%	
60	ZIL Zilliqa	ZIL	$385,784,409	$0.059249	6,511,228,178 *	$11,994,700	0.52%	4.79%	3.47%	
61	BTM Bytom	BTM	$381,480,435	$0.386505	987,000,000 *	$12,970,100	-0.21%	-1.10%	30.95%	
62	DCN Dentacoin	DCN	$367,584,127	$0.001130	325,226,613,094 *	$399,821	0.53%	1.64%	7.09%	
63	GNT Golem	GNT	$364,502,416	$0.436916	834,262,000 *	$13,713,300	-0.03%	1.73%	37.60%	
64	PIVX PIVX	PIVX	$358,792,587	$6.45	55,588,320 *	$7,254,720	-0.46%	3.77%	19.40%	
65	ELF aelf	ELF	$352,352,500	$1.41	250,000,000 *	$23,024,200	-1.40%	5.89%	14.76%	
66	SYS Syscoin	SYS	$341,489,392	$0.643129	530,981,175	$3,889,590	-1.35%	-0.83%	27.45%	
67	CNX Cryptonex	CNX	$335,276,093	$7.43	45,118,995	$286,967	-0.59%	9.04%	22.80%	
68	QASH QASH	QASH	$334,800,200	$0.956572	350,000,000 *	$5,760,620	0.65%	0.91%	16.08%	
69	BTX Bitcore	BTX	$330,931,657	$29.14	11,357,430	$1,759,310	-0.43%	5.05%	23.99%	
70	NAS Nebulas	NAS	$330,057,345	$9.30	35,500,000 *	$9,246,090	-0.39%	4.05%	21.60%	
71	MONA MonaCoin	MONA	$321,485,655	$5.60	57,453,500	$8,187,250	1.16%	11.47%	52.54%	
72	ETHOS Ethos	ETHOS	$317,293,099	$4.19	75,800,630 *	$2,345,370	0.32%	4.27%	1.16%	
73	PLR Pillar	PLR	$315,739,712	$1.39	227,384,800 *	$329,719	1.92%	3.64%	3.35%	
74	POWR Power Ledger	POWR	$307,949,588	$0.846393	363,837,589 *	$19,897,600	-0.35%	4.50%	26.51%	
75	GXS GXShares	GXS	$295,330,200	$4.92	60,000,000 *	$11,368,500	-0.09%	0.93%	17.24%	
76	IOST IOStoken	IOST	$290,007,941	$0.042685	6,794,109,922 *	$41,896,400	-0.73%	4.49%	15.01%	
77	FCT Factom	FCT	$286,265,667	$32.73	8,745,102 *	$4,887,010	-0.95%	4.25%	29.31%	
78	UCASH U.CASH	UCASH	$284,393,838	$0.032902	8,643,716,688 *	$136,731	-7.57%	-47.05%	?	
79	DENT Dent	DENT	$281,689,219	$0.026537	10,614,760,961 *	$1,868,520	1.10%	4.99%	4.77%	
80	AION Aion	AION	$276,167,859	$3.10	89,090,430 *	$4,762,950	-0.78%	3.18%	12.29%	
81	SALT SALT	SALT	$271,747,364	$5.09	53,410,831 *	$8,482,040	2.07%	17.37%	17.65%	
82	FUN FunFair	FUN	$263,793,212	$0.058573	4,503,688,789 *	$5,055,230	0.20%	4.41%	-4.00%	
83	CND Cindicator	CND	$261,539,570	$0.180874	1,445,976,590 *	$8,782,660	0.36%	-2.08%	-2.70%	
84	WAX WAX	WAX	$252,080,683	$0.511367	492,954,537 *	$112,626,000	0.87%	-8.99%	59.28%	
85	NXT Nxt	NXT	$248,933,802	$0.249183	998,999,942 *	$31,365,100	1.12%	14.59%	40.75%	
86	ENG Enigma	ENG	$248,123,815	$3.32	74,836,171 *	$4,299,410	-0.57%	5.08%	38.35%	
87	XZC ZCoin	XZC	$242,752,003	$59.05	4,111,235	$4,267,610	-0.36%	1.39%	19.94%	
88	POLY Polymath	POLY	$237,828,574	$0.992730	239,570,250 *	$2,197,040	-3.79%	-4.35%	26.33%	
89	NEBL Neblio	NEBL	$233,014,964	$18.17	12,820,701 *	$86,184,900	-3.85%	20.48%	60.82%	
90	KIN Kin	KIN	$232,956,683	$0.000308	756,097,560,976 *	$244,910	-2.26%	-3.61%	13.51%	
91	RDD ReddCoin	RDD	$231,763,182	$0.008060	28,753,809,639 *	$1,983,110	-0.41%	5.66%	36.01%	
92	MAID MaidSafeCoin	MAID	$230,068,143	$0.508379	452,552,412 *	$2,193,420	-0.79%	5.78%	28.39%	
93	REQ Request Network	REQ	$222,645,312	$0.347090	641,462,769 *	$7,400,960	-1.25%	6.48%	25.21%	
94	PART Particl	PART	$217,124,458	$24.47	8,872,725 *	$286,819	-1.49%	5.58%	21.42%	
95	BNT Bancor	BNT	$217,003,607	$5.60	38,721,050 *	$4,293,700	0.31%	1.92%	16.33%	
96	PAY TenX	PAY	$206,002,763	$1.97	104,661,310 *	$2,726,430	-0.80%	1.57%	27.84%	
97	LINK ChainLink	LINK	$200,602,850	$0.573151	350,000,000 *	$7,384,970	0.39%	1.78%	42.29%	
98	BLOCK Blocknet	BLOCK	$188,830,538	$37.64	5,016,525 *	$319,000	1.17%	7.91%	45.55%	
99	QSP Quantstamp	QSP	$188,114,147	$0.304730	617,314,171 *	$4,580,120	-0.39%	1.96%	-0.65%	
100	SMART SmartCash	SMART	$188,026,018	$0.266802	704,739,912	$253,351	-4.05%	-3.28%	-16.32%	
101	SAN Santiment Net...	SAN	$187,714,806	$3.00	62,660,371 *	$27,978,000	-2.80%	26.08%	85.20%	
102	IGNIS Ignis	IGNIS	$184,623,838	$0.242561	761,143,950 *	$10,426,400	0.68%	2.29%	17.51%	
103	POE Po.et	POE	$183,821,822	$0.082926	2,216,707,776 *	$25,567,300	1.97%	9.89%	54.94%	
104	VTC Vertcoin	VTC	$180,913,846	$4.21	42,949,150	$8,623,440	-0.31%	15.22%	37.77%	
105	XP Experience Po...	XP	$180,214,679	$0.000840	214,501,448,793	$943,799	-7.19%	-6.88%	20.19%	
106	GNO Gnosis	GNO	$178,531,568	$161.63	1,104,590 *	$544,807	0.33%	2.85%	18.40%	
107	AGI SingularityNET	AGI	$178,112,938	$0.390982	455,552,782 *	$1,490,470	-0.50%	-3.92%	-7.61%	
108	ICN Iconomi	ICN	$177,278,189	$1.78	99,735,687 *	$1,226,460	-1.41%	1.24%	10.10%	
