46	DGB DigiByte	DGB	$647,370,654	$0.067190	9,634,925,643	$25,936,200	0.03%	-2.02%	-7.48%	
47	DCR Decred	DCR	$640,819,682	$99.02	6,471,795	$2,929,460	0.40%	2.75%	8.86%	
48	FCT Factom	FCT	$614,489,459	$70.27	8,745,102 *	$98,172,600	4.48%	42.23%	56.95%	
49	PIVX PIVX	PIVX	$586,641,332	$10.62	55,254,906 *	$4,346,890	0.02%	0.66%	-16.20%	
50	MONA MonaCoin	MONA	$545,134,235	$9.66	56,419,500	$6,725,800	-0.30%	-6.03%	-14.80%	
51	MAID MaidSafeCoin	MAID	$514,158,372	$1.14	452,552,412 *	$19,677,300	4.68%	20.93%	27.50%	
52	REQ Request Network	REQ	$513,101,808	$0.800746	640,779,733 *	$102,893,000	6.91%	52.60%	154.93%	
53	GBYTE Byteball Bytes	GBYTE	$450,859,233	$698.77	645,222 *	$1,538,360	-1.11%	-1.94%	-1.53%	
54	ZRX 0x	ZRX	$425,790,517	$0.893935	476,310,377 *	$21,804,900	1.62%	5.59%	30.68%	
55	XZC ZCoin	XZC	$424,134,796	$111.92	3,789,692	$11,823,100	0.45%	-7.56%	3.04%	
56	BAT Basic Attenti...	BAT	$416,275,000	$0.416275	1,000,000,000 *	$18,160,800	-0.31%	1.72%	-1.48%	
57	ETN Electroneum	ETN	$409,342,838	$0.081909	4,997,507,466	$4,191,920	1.96%	-7.54%	-10.10%	
58	DRGN Dragonchain	DRGN	$408,683,816	$1.71	238,421,940 *	$7,002,000	-11.30%	33.15%	96.62%	
59	PAY TenX	PAY	$408,194,808	$3.90	104,661,310 *	$15,398,200	0.01%	-6.54%	-21.79%	
60	BTCD BitcoinDark	BTCD	$396,934,753	$307.97	1,288,862	$245,256	0.11%	-4.83%	2.17%	
61	WAX WAX	WAX	$396,635,164	$0.804608	492,954,537 *	$15,856,400	1.12%	-11.05%	0.71%	
62	KNC Kyber Network	KNC	$395,769,253	$2.95	134,132,697 *	$19,805,200	-1.48%	15.31%	17.36%	
63	SYS Syscoin	SYS	$391,609,877	$0.738961	529,946,610	$8,801,660	-0.04%	-2.95%	-1.16%	
64	FUN FunFair	FUN	$367,334,427	$0.086434	4,249,873,622 *	$55,092,800	-0.43%	-23.72%	40.50%	
65	POWR Power Ledger	POWR	$366,883,029	$1.03	356,224,783 *	$48,406,900	0.23%	7.97%	7.69%	
66	BTM Bytom	BTM	$354,394,194	$0.359062	987,000,000 *	$13,388,000	0.51%	-0.49%	-5.77%	
67	XP Experience Po...	XP	$340,121,807	$0.001719	197,848,762,157	$9,656,460	0.97%	-23.12%	560.65%	
68	SAN Santiment Net...	SAN	$321,964,348	$5.32	60,522,686 *	$11,286,700	-0.07%	3.24%	-10.97%	
69	DGD DigixDAO	DGD	$312,574,000	$156.29	2,000,000 *	$5,300,950	-0.49%	-3.03%	-10.03%	
70	RDD ReddCoin	RDD	$310,561,829	$0.010817	28,711,063,217 *	$27,407,300	0.01%	3.39%	-36.83%	
71	QASH QASH	QASH	$302,730,750	$0.864945	350,000,000 *	$12,379,300	-0.61%	0.47%	-1.89%	
72	KCS KuCoin Shares	KCS	$302,248,445	$3.32	91,043,076 *	$3,786,470	0.07%	-3.91%	164.92%	
73	CVC Civic	CVC	$302,197,658	$0.881814	342,700,000 *	$17,483,500	-3.32%	0.72%	-19.25%	
74	AION Aion	AION	$300,708,282	$4.91	61,299,856 *	$5,303,080	-1.10%	-5.30%	3.59%	
75	AE Aeternity	AE	$297,674,332	$1.28	233,020,472 *	$1,442,330	-0.21%	-3.08%	-6.34%	
76	KIN Kin	KIN	$294,186,220	$0.000389	756,097,560,976 *	$4,529,120	1.30%	-5.99%	192.33%	
77	STORJ Storj	STORJ	$289,342,636	$2.19	132,342,914 *	$23,479,000	-0.17%	-9.97%	39.41%	
78	VTC Vertcoin	VTC	$284,898,517	$6.74	42,295,350	$7,615,130	0.79%	0.77%	-10.45%	
79	WTC Walton	WTC	$283,727,187	$11.40	24,898,178 *	$27,318,000	0.83%	-1.94%	-12.69%	
80	GAS Gas	GAS	$279,098,299	$30.54	9,137,582 *	$9,352,280	0.03%	1.39%	6.38%	
81	SKY Skycoin	SKY	$263,523,149	$38.61	6,825,522 *	$1,188,760	0.57%	-19.12%	61.39%	
82	GAME GameCredits	GAME	$263,291,260	$4.09	64,355,352	$3,627,940	-1.43%	-0.80%	-6.62%	
83	ICN Iconomi	ICN	$256,222,463	$2.57	99,788,314 *	$3,293,700	-0.08%	-4.49%	13.30%	
84	GNO Gnosis	GNO	$248,839,826	$225.28	1,104,590 *	$3,824,920	0.56%	10.04%	0.05%	
85	ELF aelf	ELF	$243,613,500	$0.974454	250,000,000 *	$98,739,300	0.81%	-0.77%	-9.33%	
